entity,iso_code,date,indicator,value
United States,USA,22/06/2021,Weekly new hospital admissions,13203
United States,USA,22/06/2021,Weekly new hospital admissions per million,39.029
United States,USA,23/06/2021,Daily ICU occupancy,3700
United States,USA,23/06/2021,Daily ICU occupancy per million,10.937
United States,USA,23/06/2021,Daily hospital occupancy,12609
United States,USA,23/06/2021,Daily hospital occupancy per million,37.273
United States,USA,23/06/2021,Weekly new hospital admissions,13120
United States,USA,23/06/2021,Weekly new hospital admissions per million,38.783
United States,USA,24/06/2021,Daily ICU occupancy,3636
United States,USA,24/06/2021,Daily ICU occupancy per million,10.748
United States,USA,24/06/2021,Daily hospital occupancy,12397
United States,USA,24/06/2021,Daily hospital occupancy per million,36.646
United States,USA,24/06/2021,Weekly new hospital admissions,13155
United States,USA,24/06/2021,Weekly new hospital admissions per million,38.887
United States,USA,25/06/2021,Daily ICU occupancy,3617
United States,USA,25/06/2021,Daily ICU occupancy per million,10.692
United States,USA,25/06/2021,Daily hospital occupancy,12408
United States,USA,25/06/2021,Daily hospital occupancy per million,36.679
United States,USA,25/06/2021,Weekly new hospital admissions,13092
United States,USA,25/06/2021,Weekly new hospital admissions per million,38.701
United States,USA,26/06/2021,Daily ICU occupancy,3562
United States,USA,26/06/2021,Daily ICU occupancy per million,10.529
United States,USA,26/06/2021,Daily hospital occupancy,12238
United States,USA,26/06/2021,Daily hospital occupancy per million,36.176
United States,USA,26/06/2021,Weekly new hospital admissions,13203
United States,USA,26/06/2021,Weekly new hospital admissions per million,39.029
United States,USA,27/06/2021,Daily ICU occupancy,3525
United States,USA,27/06/2021,Daily ICU occupancy per million,10.42
United States,USA,27/06/2021,Daily hospital occupancy,12233
United States,USA,27/06/2021,Daily hospital occupancy per million,36.161
United States,USA,27/06/2021,Weekly new hospital admissions,13372
United States,USA,27/06/2021,Weekly new hospital admissions per million,39.528
United States,USA,28/06/2021,Daily ICU occupancy,3617
United States,USA,28/06/2021,Daily ICU occupancy per million,10.692
United States,USA,28/06/2021,Daily hospital occupancy,12510
United States,USA,28/06/2021,Daily hospital occupancy per million,36.98
United States,USA,28/06/2021,Weekly new hospital admissions,13528
United States,USA,28/06/2021,Weekly new hospital admissions per million,39.989
United States,USA,29/06/2021,Daily ICU occupancy,3676
United States,USA,29/06/2021,Daily ICU occupancy per million,10.866
United States,USA,29/06/2021,Daily hospital occupancy,12662
United States,USA,29/06/2021,Daily hospital occupancy per million,37.429
United States,USA,29/06/2021,Weekly new hospital admissions,13596
United States,USA,29/06/2021,Weekly new hospital admissions per million,40.19
United States,USA,30/06/2021,Daily ICU occupancy,3673
United States,USA,30/06/2021,Daily ICU occupancy per million,10.858
United States,USA,30/06/2021,Daily hospital occupancy,12877
United States,USA,30/06/2021,Daily hospital occupancy per million,38.065
United States,USA,30/06/2021,Weekly new hospital admissions,13767
United States,USA,30/06/2021,Weekly new hospital admissions per million,40.696
United States,USA,01/07/2021,Daily ICU occupancy,3614
United States,USA,01/07/2021,Daily ICU occupancy per million,10.683
United States,USA,01/07/2021,Daily hospital occupancy,12863
United States,USA,01/07/2021,Daily hospital occupancy per million,38.024
United States,USA,01/07/2021,Weekly new hospital admissions,13876
United States,USA,01/07/2021,Weekly new hospital admissions per million,41.018
United States,USA,02/07/2021,Daily ICU occupancy,4027
United States,USA,02/07/2021,Daily ICU occupancy per million,11.904
United States,USA,02/07/2021,Daily hospital occupancy,13234
United States,USA,02/07/2021,Daily hospital occupancy per million,39.12
United States,USA,02/07/2021,Weekly new hospital admissions,14294
United States,USA,02/07/2021,Weekly new hospital admissions per million,42.254
United States,USA,03/07/2021,Daily ICU occupancy,3753
United States,USA,03/07/2021,Daily ICU occupancy per million,11.094
United States,USA,03/07/2021,Daily hospital occupancy,12916
United States,USA,03/07/2021,Daily hospital occupancy per million,38.18
United States,USA,03/07/2021,Weekly new hospital admissions,14458
United States,USA,03/07/2021,Weekly new hospital admissions per million,42.738
United States,USA,04/07/2021,Daily ICU occupancy,3777
United States,USA,04/07/2021,Daily ICU occupancy per million,11.165
United States,USA,04/07/2021,Daily hospital occupancy,13121
United States,USA,04/07/2021,Daily hospital occupancy per million,38.786
United States,USA,04/07/2021,Weekly new hospital admissions,14577
United States,USA,04/07/2021,Weekly new hospital admissions per million,43.09
United States,USA,05/07/2021,Daily ICU occupancy,3883
United States,USA,05/07/2021,Daily ICU occupancy per million,11.478
United States,USA,05/07/2021,Daily hospital occupancy,13433
United States,USA,05/07/2021,Daily hospital occupancy per million,39.709
United States,USA,05/07/2021,Weekly new hospital admissions,14757
United States,USA,05/07/2021,Weekly new hospital admissions per million,43.622
United States,USA,06/07/2021,Daily ICU occupancy,3980
United States,USA,06/07/2021,Daily ICU occupancy per million,11.765
United States,USA,06/07/2021,Daily hospital occupancy,13974
United States,USA,06/07/2021,Daily hospital occupancy per million,41.308
United States,USA,06/07/2021,Weekly new hospital admissions,14980
United States,USA,06/07/2021,Weekly new hospital admissions per million,44.282
